tstamp	latitude	longitude	speed	trip_id
2023-01-17 09:45:45	45.480177	-122.68902	12.28	239656973
2023-01-17 09:45:50	45.480157	-122.688278	11.4	239656973
2023-01-17 09:46:35	45.480097	-122.684617	6.6	239656973
2023-01-17 09:46:45	45.479908	-122.682858	14.2	239656973
2023-01-17 09:47:05	45.480947	-122.680095	13.6	239656973
2023-01-17 09:47:10	45.48158	-122.680305	16	239656973
2023-01-17 09:47:20	45.483118	-122.680615	17.6	239656973
2023-01-17 09:47:35	45.485368	-122.681958	18.4	239656973
2023-01-17 09:47:55	45.487737	-122.682663	13.05	239656973
2023-01-17 09:48:15	45.487828	-122.68267	0.65	239656973
2023-01-17 09:48:25	45.488802	-122.682655	11.6	239656973
2023-01-17 09:48:30	45.489422	-122.682248	15.4	239656973
2023-01-17 09:49:01	45.490565	-122.679133	8.77	239656973
2023-01-17 09:49:55	45.491867	-122.677147	4	239656973
2023-01-17 09:50:15	45.494722	-122.677242	16.2	239656973
2023-01-17 09:50:40	45.498482	-122.67775	17.16	239656973
2023-01-17 09:51:20	45.504858	-122.677612	17.82	239656973
2023-01-17 09:51:30	45.506353	-122.677535	16.7	239656973
2023-01-17 09:51:50	45.508767	-122.677323	13.6	239656973
2023-01-17 10:24:19	45.48585	-122.723022	9.4	239657033
2023-01-17 10:24:49	45.485995	-122.724612	4.3	239657033
2023-01-17 10:25:09	45.486972	-122.727668	13.4	239657033
2023-01-17 10:25:34	45.487113	-122.731257	11.24	239657033
2023-01-17 10:25:44	45.487115	-122.731502	2	239657033
2023-01-17 10:25:49	45.487115	-122.732078	9.4	239657033
2023-01-17 10:26:29	45.487125	-122.738428	12.53	239657033
2023-01-17 10:26:49	45.487152	-122.74193	13.8	239657033
2023-01-17 10:26:59	45.487165	-122.743533	12.5	239657033
2023-01-17 10:27:29	45.486695	-122.746765	8.47	239657033
2023-01-17 10:27:39	45.486623	-122.747013	2.6	239657033
2023-01-17 10:29:15	45.485093	-122.751347	3.94	239657033
2023-01-17 10:29:56	45.483737	-122.754292	6.78	239657033
2023-01-17 10:30:46	45.480703	-122.760655	12.1	239657033
2023-01-17 10:31:53	45.4742	-122.765412	12.87	239657033
2023-01-17 10:32:14	45.472842	-122.76839	13.62	239657033
2023-01-17 10:32:29	45.472507	-122.77095	13.67	239657033
2023-01-17 10:31:58	45.531545	-122.659807	3.07	240021759
2023-01-17 10:32:53	45.531555	-122.66116	1.91	240021759
2023-01-17 10:32:58	45.531557	-122.661612	6.8	240021759
2023-01-17 10:33:13	45.531065	-122.662977	8.13	240021759
2023-01-17 10:33:33	45.530783	-122.664073	4.25	240021759
2023-01-17 10:33:38	45.530783	-122.664228	3.2	240021759
2023-01-17 10:33:43	45.530768	-122.664648	6.6	240021759
2023-01-17 10:33:48	45.530775	-122.665073	6.2	240021759
2023-01-17 10:33:53	45.530807	-122.66536	4.2	240021759
2023-01-17 10:33:58	45.530812	-122.665605	4	240021759
2023-01-17 10:34:13	45.5303	-122.665978	4.27	240021759
2023-01-17 10:34:18	45.530153	-122.666177	4.8	240021759
2023-01-17 10:36:53	45.529325	-122.667013	0.7	240021759
2023-01-17 10:37:03	45.529185	-122.667063	1.5	240021759
2023-01-17 10:37:08	45.528793	-122.667233	9	240021759
2023-01-17 10:37:33	45.527277	-122.670082	11.2	240021759
2023-01-17 10:37:43	45.526852	-122.671232	10.2	240021759
2023-01-17 10:37:53	45.526873	-122.672692	11.3	240021759
2023-01-17 10:38:08	45.526795	-122.674045	7.13	240021759
2023-01-17 10:39:32	45.526625	-122.675458	1.33	240021759
2023-01-17 10:39:47	45.526157	-122.67563	3.87	240021759
2023-01-17 10:40:32	45.52555	-122.675565	1.49	240021759
2023-01-17 10:40:37	45.525403	-122.675523	3	240021759
2023-01-17 10:41:22	45.52388	-122.675375	3.73	240021759
2023-01-17 10:41:37	45.523255	-122.675362	4.53	240021759
2023-01-17 10:41:47	45.522762	-122.675447	5.5	240021759
2023-01-17 10:41:52	45.522483	-122.675595	6.4	240021759
2023-01-17 10:43:47	45.520555	-122.67663	1.97	240021759
2023-01-17 10:43:52	45.520263	-122.676797	7	240021759
2023-01-17 10:43:57	45.520057	-122.676885	4.6	240021759
2023-01-17 10:44:07	45.519598	-122.67715	5.5	240021759
2023-01-17 10:44:17	45.519133	-122.677492	5.8	240021759
2023-01-17 10:44:22	45.519083	-122.67753	1	240021759
2023-01-17 10:45:35	45.518312	-122.677887	1.23	240021759
2023-01-17 10:45:45	45.517855	-122.678102	5.4	240021759
2023-01-17 10:45:50	45.517567	-122.678257	6.6	240021759
2023-01-17 10:45:55	45.517273	-122.678418	7	240021759
2023-01-17 10:46:00	45.516998	-122.678572	6.4	240021759
2023-01-17 10:46:05	45.5167	-122.67873	7.2	240021759
2023-01-17 10:46:25	45.515753	-122.67935	5.65	240021759
2023-01-17 10:47:10	45.515307	-122.679517	1.18	240021759
2023-01-17 10:47:50	45.51452	-122.679973	2.35	240021759
2023-01-17 10:48:00	45.513813	-122.68035	8.3	240021759
2023-01-17 10:48:15	45.513018	-122.680792	6.07	240021759
2023-01-17 10:48:45	45.511472	-122.681465	6	240021759
2023-01-17 10:49:00	45.51039	-122.682087	8.53	240021759
2023-01-17 10:49:05	45.510288	-122.682145	2	240021759
2023-01-17 10:50:35	45.508793	-122.682815	1.99	240021759
2023-01-17 10:50:40	45.508297	-122.683188	12.4	240021759
2023-01-17 10:50:45	45.507747	-122.683525	13	240021759
2023-01-17 10:50:55	45.507127	-122.683745	6.5	240021759
2023-01-17 10:51:50	45.506065	-122.68313	2.4	240021759
2023-01-17 10:52:25	45.50591	-122.683512	1.2	240021759
2023-01-17 10:52:35	45.505932	-122.684005	3.5	240021759
2023-01-17 10:53:25	45.50573	-122.684302	0.72	240021759
2023-01-17 10:53:41	45.504272	-122.684302	10.38	240021759
2023-01-17 10:54:02	45.502995	-122.686975	11.81	240021759
2023-01-17 10:54:12	45.502727	-122.687612	6	240021759
2023-01-17 10:54:32	45.502767	-122.685188	10.7	240021759
2023-01-17 10:54:42	45.502915	-122.683838	11	240021759
2023-01-17 10:54:52	45.501935	-122.683078	12	240021759
2023-01-17 10:55:32	45.499172	-122.682527	8.05	240021759
2023-01-17 10:55:37	45.499037	-122.682013	8.4	240021759
2023-01-17 10:55:42	45.498855	-122.681442	10	240021759
2023-01-17 10:55:57	45.497475	-122.68054	11.2	240021759
2023-01-17 10:56:07	45.496452	-122.680368	11.5	240021759
2023-01-17 10:56:12	45.49602	-122.680702	10.8	240021759
2023-01-17 10:56:17	45.495728	-122.681257	10.8	240021759
2023-01-17 10:56:27	45.495168	-122.682317	10.2	240021759
2023-01-17 10:56:32	45.494785	-122.682362	8.2	240021759
2023-01-17 10:56:37	45.494557	-122.682567	6.6	240021759
2023-01-17 10:56:47	45.494557	-122.683538	7.6	240021759
2023-01-17 10:56:57	45.495272	-122.683153	9	240021759
2023-01-17 10:57:32	45.497012	-122.68184	6.17	240021759
2023-01-17 10:57:42	45.497545	-122.682272	6.8	240021759
2023-01-17 10:57:52	45.497315	-122.683033	6.7	240021759
2023-01-17 10:57:57	45.497107	-122.683192	4.8	240021759
2023-01-17 10:19:47	45.523108	-122.667542	0	239763602
2023-01-17 10:20:17	45.523182	-122.672398	12.5	239763602
2023-01-17 10:20:22	45.523182	-122.673028	9.8	239763602
2023-01-17 10:20:57	45.523175	-122.67328	0.54	239763602
2023-01-17 10:21:02	45.523165	-122.673683	6.4	239763602
2023-01-17 10:24:07	45.521073	-122.676375	1.98	239763602
2023-01-17 10:24:12	45.520795	-122.67652	6.4	239763602
2023-01-17 10:24:17	NaN	NaN	6.2	239763602
2023-01-17 10:25:27	45.519062	-122.677453	2.44	239763602
2023-01-17 10:27:12	45.516397	-122.678738	2.93	239763602
2023-01-17 10:29:17	45.513305	-122.680447	2.94	239763602
2023-01-17 10:30:37	45.51036	-122.682058	4.34	239763602
2023-01-17 10:32:32	45.507412	-122.683682	3.05	239763602
2023-01-17 10:34:17	45.50285	-122.682102	5.46	239763602
2023-01-17 10:35:17	45.499835	-122.680468	5.97	239763602
2023-01-17 10:35:47	45.496087	-122.678368	14.83	239763602
2023-01-17 10:37:27	45.490857	-122.67884	6.51	239763602
2023-01-17 10:37:52	45.48932	-122.682568	13.88	239763602
2023-01-17 10:38:02	45.487845	-122.682887	16.7	239763602
2023-01-17 10:39:07	45.476535	-122.679693	19.75	239763602
2023-01-17 10:39:17	45.474787	-122.679427	19.3	239763602
2023-01-17 10:39:47	45.471258	-122.681577	15.27	239763602
2023-01-17 10:39:57	45.4711	-122.683515	15.4	239763602
2023-01-17 10:41:22	45.467903	-122.693943	10.74	239763602
2023-01-17 10:41:32	45.466998	-122.695505	15.7	239763602
2023-01-17 10:42:32	45.464057	-122.700643	8.6	239763602
2023-01-17 10:57:04	45.436127	-122.759373	5.14	239763602
2023-01-17 10:57:19	45.436038	-122.759588	1.27	239763602
2023-01-17 10:57:34	45.435443	-122.76121	9.47	239763602
2023-01-17 10:57:39	45.435208	-122.761868	11.4	239763602
2023-01-17 10:57:49	45.434688	-122.763267	12.2	239763602
2023-01-17 10:58:00	45.43409	-122.764822	12.45	239763602
2023-01-17 10:58:05	45.433825	-122.765548	12.6	239763602
2023-01-17 10:58:14	45.433387	-122.766645	10.67	239763602
2023-01-17 10:59:36	45.43325	-122.767017	0.37	239763602
2023-01-17 11:01:07	45.431875	-122.769128	2.6	239763602
2023-01-17 11:01:22	45.431375	-122.769933	5.53	239763602
2023-01-17 11:01:58	45.430122	-122.769373	4.69	239763602
2023-01-17 09:53:59	45.558545	-122.564143	6.07	239763602
2023-01-17 09:55:14	45.55509	-122.572303	10.03	239763602
2023-01-17 09:57:59	45.551598	-122.58084	4.64	239763602
2023-01-17 09:58:35	45.549483	-122.58611	12.81	239763602
2023-01-17 09:59:20	45.548088	-122.589702	7.27	239763602
2023-01-17 09:59:30	45.547508	-122.591218	12.1	239763602
2023-01-17 10:00:07	45.5466	-122.593533	5.73	239763602
2023-01-17 10:00:27	45.545443	-122.596515	13.35	239763602
2023-01-17 10:00:48	45.544423	-122.599118	10.57	239763602
2023-01-17 10:01:08	45.543453	-122.601612	11.1	239763602
2023-01-17 10:02:16	45.54205	-122.605223	4.66	239763602
2023-01-17 10:03:21	45.54014	-122.610178	6.71	239763602
2023-01-17 10:03:56	45.539605	-122.61173	3.77	239763602
2023-01-17 10:04:22	45.538698	-122.614422	8.96	239763602
2023-01-17 10:04:26	45.538593	-122.614675	3.75	239763602
2023-01-17 10:05:17	45.537228	-122.61761	5.33	239763602
2023-01-17 10:09:02	45.53427	-122.624497	2.78	239763602
2023-01-17 10:09:13	45.534168	-122.624748	1.73	239763602
2023-01-17 09:54:47	45.494603	-122.677175	16.2	239584735
2023-01-17 09:55:17	45.498163	-122.679397	14.73	239584735
2023-01-17 09:55:27	45.49931	-122.680032	14.2	239584735
2023-01-17 09:55:32	45.499925	-122.680372	15	239584735
2023-01-17 09:55:37	45.50051	-122.680695	14	239584735
2023-01-17 09:55:52	45.501965	-122.681472	11.47	239584735
2023-01-17 09:56:27	45.502937	-122.681987	3.51	239584735
2023-01-17 09:56:37	45.504047	-122.682	12.7	239584735
2023-01-17 09:57:02	45.505028	-122.681988	4.2	239584735
2023-01-17 09:57:07	45.505312	-122.68199	7.2	239584735
2023-01-17 09:57:32	45.50747	-122.681965	9.8	239584735
2023-01-17 09:57:47	45.508768	-122.681812	10	239584735
2023-01-17 09:57:52	45.509175	-122.68161	9.4	239584735
