tstamp	latitude	longitude	speed	trip_id
2023-01-16 10:15:38	45.50377	-122.843833	15.65	239243722
2023-01-16 10:15:43	45.503787	-122.843908	15.65	239243722
2023-01-16 10:15:48	45.503798	-122.84396	0.9	239243722
2023-01-16 10:15:53	45.50386	-122.844058	1.5	239243722
2023-01-16 10:15:58	45.504108	-122.844	0	239243722
2023-01-16 10:16:03	45.504393	-122.84381	5.07	239243722
2023-01-16 10:16:08	45.504573	-122.843697	3.8	239243722
2023-01-16 10:16:11	45.504582	-122.84369	4.67	239243722
2023-01-16 10:16:13	45.504582	-122.84369	3.67	239243722
2023-01-16 10:16:14	45.504582	-122.84369	0.17	239243722
2023-01-16 10:16:18	45.504662	-122.843645	2.5	239243722
2023-01-16 10:16:38	45.504722	-122.843613	0.35	239243722
2023-01-16 10:16:43	45.504907	-122.843522	1.25	239243722
2023-01-16 10:16:48	45.505112	-122.843432	4.4	239243722
2023-01-16 10:16:52	45.505138	-122.843422	0.5	239243722
2023-01-16 10:16:53	45.505138	-122.843422	0	239243722
2023-01-16 10:16:57	45.505138	-122.843422	0	239243722
2023-01-16 10:16:58	45.505143	-122.84342	1	239243722
2023-01-16 10:17:03	45.50517	-122.843407	0.8	239243722
2023-01-16 10:17:08	45.5053	-122.843095	6	239243722
2023-01-16 10:17:13	45.50549	-122.842482	3.94	239243722
2023-01-16 10:17:18	45.505853	-122.841767	13.8	239243722
2023-01-16 10:17:23	45.506337	-122.841215	4.17	239243722
2023-01-16 10:17:28	45.506773	-122.840943	12.15	239243722
2023-01-16 10:17:33	45.50707	-122.840823	6.4	239243722
2023-01-16 10:17:38	45.507167	-122.840788	1.6	239243722
2023-01-16 10:17:40	45.507168	-122.840788	5.29	239243722
2023-01-16 10:17:43	45.507168	-122.840788	6.32	239243722
2023-01-16 10:17:46	45.507168	-122.840788	0	239243722
2023-01-16 10:17:48	45.507182	-122.840783	1.5	239243722
2023-01-16 10:17:53	45.507412	-122.840695	2.13	239243722
2023-01-16 10:17:58	45.507842	-122.840525	8	239243722
2023-01-16 10:18:03	45.508355	-122.84036	11.6	239243722
2023-01-16 10:18:08	45.508902	-122.84025	11.4	239243722
2023-01-16 10:18:13	45.509522	-122.840123	13.2	239243722
2023-01-16 10:18:18	45.5102	-122.839955	15.2	239243722
2023-01-16 10:18:23	45.510838	-122.839762	14.47	239243722
2023-01-16 10:18:28	45.51152	-122.839595	10.35	239243722
2023-01-16 10:18:33	45.512232	-122.839437	16	239243722
2023-01-16 10:18:38	45.512992	-122.839373	15.6	239243722
2023-01-16 10:18:43	45.513767	-122.839413	17.2	239243722
2023-01-16 10:18:48	45.514542	-122.839448	17	239243722
2023-01-16 10:18:53	45.515278	-122.839483	16	239243722
2023-01-16 10:18:58	45.515887	-122.83951	12.6	239243722
2023-01-16 10:19:03	45.516238	-122.839532	7.2	239243722
2023-01-16 10:19:08	45.51636	-122.83954	13.36	239243722
2023-01-16 10:19:10	45.516362	-122.83954	0	239243722
2023-01-16 10:19:11	45.516362	-122.83954	1.25	239243722
2023-01-16 10:19:13	45.516372	-122.839542	1	239243722
2023-01-16 10:19:18	45.516598	-122.839555	4.57	239243722
2023-01-16 10:19:23	45.517068	-122.839565	8.3	239243722
2023-01-16 10:19:28	45.517668	-122.839558	10.87	239243722
2023-01-16 10:19:33	45.51835	-122.839547	14.4	239243722
2023-01-16 10:19:38	45.51908	-122.839535	13.95	239243722
2023-01-16 10:19:43	45.519815	-122.839525	15.8	239243722
2023-01-16 10:19:48	45.520567	-122.83951	16.33	239243722
2023-01-16 10:19:53	45.521332	-122.839502	16.8	239243722
2023-01-16 10:19:58	45.522055	-122.839493	16.3	239243722
2023-01-16 10:20:03	45.522707	-122.839487	14.4	239243722
2023-01-16 10:20:08	45.5234	-122.839482	15.4	239243722
2023-01-16 10:20:13	45.52413	-122.839485	16.2	239243722
2023-01-16 10:20:18	45.524888	-122.839498	15.83	239243722
2023-01-16 10:20:23	45.525572	-122.839508	15.7	239243722
2023-01-16 10:20:28	45.526202	-122.839525	14.3	239243722
2023-01-16 10:20:33	45.526797	-122.83954	13.4	239243722
2023-01-16 10:20:38	45.527328	-122.83954	12.2	239243722
2023-01-16 10:20:43	45.527765	-122.839533	9.6	239243722
2023-01-16 10:20:48	45.528145	-122.83954	9.53	239243722
2023-01-16 10:20:53	45.52828	-122.839557	2.2	239243722
2023-01-16 10:20:55	45.528282	-122.839557	0	239243722
2023-01-16 10:20:58	45.528282	-122.839557	11.6	239243722
